"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"467","敦化南路一段敦化高樓管理3房",70000,31,13,14,2,2,2
"468","安和路一段127巷安和捷運美華..",40000,31.1,5,6,2,2,2
"469","光復南路信義安和站稀有頂級純..",105000,60,17,19,2,2,3
"470","仁愛路四段忠孝復興站復興小學..",60000,67,2,7,2,2,3
"471","復興南路一段大安站旁頂級住宅..",110000,63,13,15,2,2,3
"472","信義路二段148巷東門靜巷近森..",100000,72,5,7,2,2,3
"473","杭州南路二段9巷大安區近中正..",85000,53.3,4,7,2,2,3
"474","信義路四段信義安和捷運/通化..",90000,53,8,15,2,2,2
"475","和平東路三段精美屋況●採光明..",89000,66,17,19,2,2,3
"476","瑞安街208巷~大安站~瑞安街..",31000,29.6,4,7,2,2,2
"477","忠孝東路三段248巷~捷運忠孝..",52000,48.7,1,14,2,2,3
"478","延吉街241巷信義安和站生活機..",20000,20,2,2,1,1,2
"479","瑞安街120巷京倫瑞安氣派豪邸",140000,86.6,5,11,2,3,4
"480","和平東路二段175巷可報稅商登..",60000,20.9,3,10,2,2,3
"481","文昌街278巷信義安和新整理電..",35000,40,5,7,2,2,3
"482","復興南路一段135巷忠孝復興採..",29999,19.6,5,12,2,1,2
"483","仁愛路四段仁愛敦南圓環溫馨住..",60000,46.8,10,15,1,2,2
"484","仁愛路四段仁愛林蔭天廈樓中樓..",155000,101.2,12,15,3,4,4
"485","仁愛路四段408巷桓邦仁愛翠亨..",220000,107,5,13,2,4,4
"486","新生南路二段大安森林公園景觀..",200000,152,2,15,2,4,4
"487","瑞安街120巷4房BedRM大安森..",140000,86.6,5,11,2,3,4
"489","瑞安街208巷~*大安站*瑞安街..",31000,29.6,4,7,2,2,2
"490","忠孝東路三段248巷*忠孝SOGO..",52000,48.7,1,14,2,2,3
"491","師大路105巷~*台電大樓捷運*..",30000,19.5,6,10,1,1,2
"492","敦化南路一段252巷降價!!復興..",85000,91.5,7,7,3,3,4
"493","通安街信義安和站~舒適漂亮大..",59999,27.4,3,9,2,2,3
"494","建國南路二段大安森林公園便宜..",35000,38.8,3,5,2,2,4
"495","敦化南路一段236巷敦南SOGO面..",168000,78.6,2,10,1,1,2
"496","信義路四段美樂【我家樓下就是..",48000,33.2,2,12,2,2,3
"497","和平東路三段遠企安和辦公室租..",25888,32,2,5,0,1,6
"498","敦化南路一段近忠孝敦化站*東..",120000,62.4,10,12,2,2,3
"499","安和路一段近信義安和站*仁愛..",59000,49.4,4,16,2,2,4
"500","忠孝東路四段216巷東區精華地..",50000,42.6,6,7,2,2,4
"501","金山南路二段近和平東路一段*..",32500,26,2,4,2,1,2
"502","新生南路一段133巷鄰大安森林..",180000,136.3,4,6,2,4,5
"503","忠孝東路三段251巷近忠孝復興..",48000,36.3,4,4,2,1,3
"504","光復南路近基隆路二段,優質裝..",100000,60,17,19,2,2,3
"505","永康街永康靜巷一樓住宅",70000,26.2,1,4,1,1,2
"506","金華街243巷新生學區華廈",33000,11.4,3,6,1,1,1
"507","忠孝東路四段東區現代精緻美屋..",37000,18.3,7,14,1,1,2
"508","仁愛路四段345巷正216巷旁稀..",63000,48,2,7,2,2,2
"509","復興南路一段107巷忠孝復興電..",53000,40,2,7,2,2,3
"510","安和路一段90巷信義安和捷運站..",82000,40,1,4,2,1,1
"511","金華街106巷金華街大四房美寓..",36000,39,3,4,2,2,4
"512","潮州街潮州街電梯大四房，屋況..",62000,51,7,7,2,2,4
"513","復興南路二段近捷運科技站台大..",35000,35,9,12,2,1,2
"514","信義路四段附中學區大安站住家..",11500,12,5,6,1,1,2
"516","延吉街忠孝敦化捷運美寓",32000,25,4,4,2,1,2
"517","四維路186巷四維路~遠企林蔭..",46000,58.8,4,6,2,2,3
"518","仁愛路三段123巷屋主-..",46000,42,2,7,2,2,4
"519","仁愛路四段408巷*國父紀念館..",220000,108,6,15,2,4,4
"520","復興南路一段鉑斯精選<U+2764>近忠孝..",75000,54.4,5,16,2,2,3
"521","光復南路240巷☆☆☆國父紀念..",38000,19,4,11,1,1,2
